Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Neuromodulation of Neural Oscillations in Health and Disease,"Neuromodulatory systems play a crucial role in regulating brain-wide neural oscillations, which play a pivotal role in cognitive functions and neurological disorders.","Evan Weiss, Michael Kann, Qi Wang",2023,33,"Using EEG and local field potentials (LFPs) as an index of large-scale neural activities, research has been able to associate neural oscillations in different frequency bands with markers of cognitive functions, goal-directed behavior, and various neurological disorders. While this gives us a glimpse into how neurons communicate throughout the brain, the causality of these synchronized network activities remains poorly understood. Moreover, the effect of the major neuromodulatory systems (e.g., noradrenergic, cholinergic, and dopaminergic) on brain oscillations has drawn much attention. More recent studies have suggested that cross-frequency coupling (CFC) is heavily responsible for mediating network-wide communication across subcortical and cortical brain structures, implicating the importance of neurotransmitters in shaping coordinated actions. By bringing to light the role each neuromodulatory system plays in regulating brain-wide neural oscillations, we hope to paint a clearer picture of the pivotal role neural oscillations play in a variety of cognitive functions and neurological disorders, and how neuromodulation techniques can be optimized as a means of controlling neural network dynamics. The aim of this review is to showcase the important role that neuromodulatory systems play in large-scale neural network dynamics, informing future studies to pay close attention to their involvement in specific features of neural oscillations and associated behaviors.",,Biology,1,10.3390/biology12030371,https://consensus.app/papers/neuromodulation-of-neural-oscillations-in-health-and-weiss-kann/49e74a158238542b82e93b59a9cbe46e/
Neuromodulators generate multiple context-relevant behaviors in a recurrent neural network by shifting activity flows in hyperchannels,"Neuromodulators, such as serotonin and dopamine, can increase the computational capability and flexibility of neural networks by creating task-specific hyperchannels in the space of neural activities.","Ben Tsuda, Stefan C. Pate, K. Tye, H. Siegelmann, T. Sejnowski",2021,13,"Neuromodulators are critical controllers of neural states, with dysfunctions linked to various neuropsychiatric disorders. Although many biological aspects of neuromodulation have been studied, the computational principles underlying how neuromodulation of distributed neural populations controls brain states remain unclear. Compared with specific contextual inputs, neuromodulation is a single scalar signal that is broadcast broadly to many neurons. We model the modulation of synaptic weight in a recurrent neural network model and show that neuromodulators can dramatically alter the function of a network, even when highly simplified. We find that under structural constraints like those in brains, this provides a fundamental mechanism that can increase the computational capability and flexibility of a neural network. Diffuse synaptic weight modulation enables storage of multiple memories using a common set of synapses that are able to generate diverse, even diametrically opposed, behaviors. Our findings help explain how neuromodulators “unlock” specific behaviors by creating task-specific hyperchannels in the space of neural activities and motivate more flexible, compact and capable machine learning architectures. Significance Neuromodulation through the release of molecules like serotonin and dopamine provides a control mechanism that allows brains to shift into distinct behavioral modes. We use an artificial neural network model to show how the action of neuromodulatory molecules acting as a broadcast signal on synaptic connections enables flexible and smooth behavioral shifting. We find that individual networks exhibit idiosyncratic sensitivities to neuromodulation under identical training conditions, highlighting a principle underlying behavioral variability. Network sensitivity is tied to the geometry of network activity dynamics, which provides an explanation for why different types of neuromodulation (molecular vs direct current modulation) have different behavioral effects. Our work suggests experiments to test biological hypotheses and paths forward in the development of flexible artificial intelligence systems.",,bioRxiv,,10.1101/2021.05.31.446462,https://consensus.app/papers/neuromodulators-generate-multiple-contextrelevant-tsuda-pate/d006c5ad48f3567cae4abe6bb338507a/
Architectures of neuronal circuits,"Neuronal circuits in diverse brain regions and animal species have specific synaptic connectivity patterns, which can help bridge the gap between individual neuron biology and brain function, and inspire new advances in artificial intelligence.",L. Luo,2021,292,"Although individual neurons are the basic unit of the nervous system, they process information by working together in neuronal circuits with specific patterns of synaptic connectivity. Here, I review common circuit motifs and architectural plans used in diverse brain regions and animal species. I also consider how these circuit architectures assemble during development and might have evolved. Understanding how specific patterns of synaptic connectivity can implement specific neural computations will help to bridge the huge gap between the biology of the individual neuron and the function of the entire brain, allow us to better understand the neural basis of behavior, and may inspire new advances in artificial intelligence.",,Science,1,10.1126/science.abg7285,https://consensus.app/papers/architectures-of-neuronal-circuits-luo/82453e0397ec52cc833e8a0debea412e/
Personalized EEG-guided brain stimulation targeting in major depression via network controllability and multi-objective optimization,"This study developed an EEG-based framework to personalize noninvasive brain stimulation strategies for major depressive disorder, enhancing global synchrony, reduced modularity, and improved local efficiency.","Aihua Wang, Jingnan Sun",2025,4,"Major depressive disorder (MDD) is associated with widespread disruptions in brain network dynamics. Although noninvasive brain stimulation (NIBS) has shown promise as an alternative treatment, its efficacy remains limited due to a lack of individualized targeting strategies that account for functional and topological heterogeneity in brain networks. This study developed a novel EEG-based framework to personalize NIBS strategies in MDD. Resting-state EEG data from 30 healthy controls and 34 MDD patients were analyzed. Functional connectivity was estimated across five frequency bands using phase locking value (PLV), amplitude envelope correlation (AEC), and weighted phase lag index (wPLI). Spectral graph embedding and structural controllability theory were applied to identify candidate stimulation targets. A multi-objective optimization algorithm (NSGA-II) was used to select optimal node-frequency-amplitude combinations minimizing control energy while maximizing network efficiency gain and structural restoration. Kuramoto-based neural simulations were conducted to evaluate stimulation efficacy in silico, quantifying changes in global synchrony, modularity, and local efficiency. MDD patients exhibited hyperconnectivity in PLV and AEC and reduced wPLI compared to controls. Control nodes in MDD were more centrally distributed, particularly around Cz in alpha and beta bands. NSGA-II optimization yielded subject-specific stimulation strategies with favorable trade-offs. Simulated stimulation significantly enhanced global synchrony (median R = 0.68, SD = 0.30), reduced network modularity (median ΔQ = - 0.0017, SD = 2.93), and improved local efficiency (median ΔEff = 0.0158, SD = 0.0038). Individualized stimulation plans consistently outperformed random controls in restoring network-level metrics. The proposed framework enables data-driven, mathematically interpretable, and simulation-validated planning of personalized brain stimulation strategies for MDD. These findings highlight the potential of EEG-based network analysis and multi-objective optimization in guiding precision neuromodulation interventions.",,BMC Psychiatry,1,10.1186/s12888-025-07171-x,https://consensus.app/papers/personalized-eegguided-brain-stimulation-targeting-in-wang-sun/5ca129cb4f9c54e880d830434f17873b/
Effects of antagonistic network-targeted tDCS on brain co-activation patterns depends on the networks’ electric field: a simultaneous tDCS-fMRI study,,"Hechun Li, Hongru Shi, Sisi Jiang, C. Hou, Haonan Pei, Hanxi Wu, María Luisa Bringas Vega, G. Yao, Dezhong Yao, Cheng Luo",2025,1,,,NeuroImage,1,10.1016/j.neuroimage.2025.121318,https://consensus.app/papers/effects-of-antagonistic-networktargeted-tdcs-on-brain-li-shi/56ff44e9d23b5e6fbdc2a4bcedc8d776/
Therapeutic Neuromodulation toward a Critical State May Serve as a General Treatment Strategy,Therapeutic neuromodulation guided by topological decompositions may help alleviate brain diseases by regulating neuronal activity and maintaining a critical state.,"Simon Arvin, Keisuke Yonehara, A. Glud",2022,1,"Brain disease has become one of this century's biggest health challenges, urging the development of novel, more effective treatments. To this end, neuromodulation represents an excellent method to modulate the activity of distinct neuronal regions to alleviate disease. Recently, the medical indications for neuromodulation therapy have expanded through the adoption of the idea that neurological disorders emerge from deficits in systems-level structures, such as brain waves and neural topology. Connections between neuronal regions are thought to fluidly form and dissolve again based on the patterns by which neuronal populations synchronize. Akin to a fire that may spread or die out, the brain's activity may similarly hyper-synchronize and ignite, such as seizures, or dwindle out and go stale, as in a state of coma. Remarkably, however, the healthy brain remains hedged in between these extremes in a critical state around which neuronal activity maneuvers local and global operational modes. While it has been suggested that perturbations of this criticality could underlie neuropathologies, such as vegetative states, epilepsy, and schizophrenia, a major translational impact is yet to be made. In this hypothesis article, we dissect recent computational findings demonstrating that a neural network's short- and long-range connections have distinct and tractable roles in sustaining the critical regime. While short-range connections shape the dynamics of neuronal activity, long-range connections determine the scope of the neuronal processes. Thus, to facilitate translational progress, we introduce topological and dynamical system concepts within the framework of criticality and discuss the implications and possibilities for therapeutic neuromodulation guided by topological decompositions.",,Biomedicines,1,10.3390/biomedicines10092317,https://consensus.app/papers/therapeutic-neuromodulation-toward-a-critical-state-may-arvin-yonehara/8dcd5843cfbf5c13829110327491557a/
Beyond the connectome: How neuromodulators shape neural circuits,"Neuromodulators shape neural circuits by modifying neuronal dynamics, excitability, and synaptic function, reorganizing information processing in various species.",Cori Bargmann,2012,487,"Powerful ultrastructural tools are providing new insights into neuronal circuits, revealing a wealth of anatomically-defined synaptic connections. These wiring diagrams are incomplete, however, because functional connectivity is actively shaped by neuromodulators that modify neuronal dynamics, excitability, and synaptic function. Studies of defined neural circuits in crustaceans, C. elegans, Drosophila, and the vertebrate retina have revealed the ability of modulators and sensory context to reconfigure information processing by changing the composition and activity of functional circuits. Each ultrastructural connectivity map encodes multiple circuits, some of which are active and some of which are latent at any given time.",,BioEssays,1,10.1002/bies.201100185,https://consensus.app/papers/beyond-the-connectome-how-neuromodulators-shape-neural-bargmann/b99a3acd70015c2e901d02ac5def7908/
Neuromodulatory connectivity defines the structure of a behavioral neural network,"Neuromodulatory connectivity in a behavioral neural network, such as the one governing pupal ecdysis, defines the functional architecture of the network and its hierarchical layers.","Feici Diao, Amicia D Elliott, F. Diao, Sarav Shah, B. White",2017,31,"Neural networks are typically defined by their synaptic connectivity, yet synaptic wiring diagrams often provide limited insight into network function. This is due partly to the importance of non-synaptic communication by neuromodulators, which can dynamically reconfigure circuit activity to alter its output. Here, we systematically map the patterns of neuromodulatory connectivity in a network that governs a developmentally critical behavioral sequence in. This sequence, which mediates pupal ecdysis, is governed by the serial release of several key factors, which act both somatically as hormones and within the brain as neuromodulators. By identifying and characterizing the functions of the neuronal targets of these factors, we find that they define hierarchically organized layers of the network controlling the pupal ecdysis sequence: a modular input layer, an intermediate central pattern generating layer, and a motor output layer. Mapping neuromodulatory connections in this system thus defines the functional architecture of the network.",,eLife,1,10.7554/elife.29797,https://consensus.app/papers/neuromodulatory-connectivity-defines-the-structure-of-a-diao-elliott/36c977f9b23353b9b92be0dfe6a5ce88/
Neuromodulation effect of temporal interference stimulation based on network computational model,"Temporal interference stimulation (tTIS) effectively targets deep brain areas with high intensity, demonstrating focal stimulation and distinct network entrainment patterns compared to transcranial Alternating Current Stimulation (tACS).","Nafiseh Karimi, R. Amirfattahi, Abolghasem Zeidaabadi Nezhad",2024,7,"Deep brain stimulation (DBS) has long been the conventional method for targeting deep brain structures, but noninvasive alternatives like transcranial Temporal Interference Stimulation (tTIS) are gaining traction. Research has shown that alternating current influences brain oscillations through neural modulation. Understanding how neurons respond to the stimulus envelope, particularly considering tTIS's high-frequency carrier, is vital for elucidating its mechanism of neuronal engagement. This study aims to explore the focal effects of tTIS across varying amplitudes and modulation depths in different brain regions. An excitatory-inhibitory network using the Izhikevich neuron model was employed to investigate responses to tTIS and compare them with transcranial Alternating Current Stimulation (tACS). We utilized a multi-scale model that integrates brain tissue modeling and network computational modeling to gain insights into the neuromodulatory effects of tTIS on the human brain. By analyzing the parametric space, we delved into phase, amplitude, and frequency entrainment to elucidate how tTIS modulates endogenous alpha oscillations. Our findings highlight a significant difference in current intensity requirements between tTIS and tACS, with tTIS requiring notably higher intensity. We observed distinct network entrainment patterns, primarily due to tTIS's high-frequency component, whereas tACS exhibited harmonic entrainment that tTIS lacked. Spatial resolution analysis of tTIS, conducted via computational modeling and brain field distribution at a 13 Hz stimulation frequency, revealed modulation in deep brain areas, with minimal effects on the surface. Notably, we observed increased power within intrinsic and stimulation bands beneath the electrodes, attributed to the high stimulus signal amplitude. Additionally, Phase Locking Value (PLV) showed slight increments in non-deep areas. Our analysis indicates focal stimulation using tTIS, prompting further investigation into the necessity of high amplitudes to significantly affect deep brain regions, which warrants validation through clinical experiments.",,Frontiers in Human Neuroscience,2,10.3389/fnhum.2024.1436205,https://consensus.app/papers/neuromodulation-effect-of-temporal-interference-karimi-amirfattahi/3c674d8a22ed5e69aec007121edb64d7/
Neuromodulation: selected approaches and challenges,"Neuromodulation, using nanomaterials and sophisticated desynchronization approaches, has shown potential in correcting faulty neural networks in various disorders.","V. Parpura, V. Parpura, G. Silva, P. Tass, K. Bennet, M. Meyyappan, J. Koehne, Kendall H. Lee, R. Andrews",2013,21,"The brain operates through complex interactions in the flow of information and signal processing within neural networks. The 'wiring' of such networks, being neuronal or glial, can physically and/or functionally go rogue in various pathological states. Neuromodulation, as a multidisciplinary venture, attempts to correct such faulty nets. In this review, selected approaches and challenges in neuromodulation are discussed. The use of water-dispersible carbon nanotubes has been proven effective in the modulation of neurite outgrowth in culture and in aiding regeneration after spinal cord injury in vivo. Studying neural circuits using computational biology and analytical engineering approaches brings to light geometrical mapping of dynamics within neural networks, much needed information for stimulation interventions in medical practice. Indeed, sophisticated desynchronization approaches used for brain stimulation have been successful in coaxing 'misfiring' neuronal circuits to resume productive firing patterns in various human disorders. Devices have been developed for the real-time measurement of various neurotransmitters as well as electrical activity in the human brain during electrical deep brain stimulation. Such devices can establish the dynamics of electrochemical changes in the brain during stimulation. With increasing application of nanomaterials in devices for electrical and chemical recording and stimulating in the brain, the era of cellular, and even intracellular, precision neuromodulation will soon be upon us.",,Journal of Neurochemistry,1,10.1111/jnc.12105,https://consensus.app/papers/neuromodulation-selected-approaches-and-challenges-parpura-parpura/8be209acc30d5c2ca817603bacbbf54a/
